NominalCode,Code,NominalName,Type,Category,Budget
820300 - ICT Support contract,820300,ICT Support contract,Expenses,Technology ,Expenses
820370 - ICT Software (not capital),820370,ICT Software (not capital),Expenses,Technology ,Expenses
820400 - ICT Licences,820400,ICT Licences,Expenses,Technology ,Expenses
820420 - ICT Broadband,820420,ICT Broadband,Expenses,Technology ,Expenses
820550 - ICT Hosting Fees,820550,ICT Hosting Fees,Expenses,Technology ,Expenses
830100 - School Trips - Travel cost,830100,School Trips - Travel cost,Expenses,School Trips ,Expenses
830150 - School trips; accommodation and entrance costs,830150,School trips; accommodation and entrance costs,Expenses,School Trips ,Expenses
830151 - Swimming,830151,Swimming,Expenses,Swimming ,Expenses
835100 - Subscriptions,835100,Subscriptions,Expenses,Administration ,Expenses
835120 - TV licences,835120,TV licences,Expenses,Administration ,Expenses
835200 - Admin Supplies & Stationery,835200,Admin Supplies & Stationery,Expenses,Administration ,Expenses
835250 - Telephone Costs,835250,Telephone Costs,Expenses,Administration ,Expenses
835320 - Postage and Carriage,835320,Postage and Carriage,Expenses,Administration ,Expenses
835500 - Medical,835500,Medical,Expenses,Administration ,Expenses
835570 - Bank charges,835570,Bank charges,Expenses,Administration ,Expenses
840100 - Vehicle cost,840100,Vehicle cost,Expenses,Vehicle cost,Expenses
845200 - Agency teaching assistants,845200,Agency teaching assistants,Expenses,Bought-in supply cover,Expenses
850100 - Catering contract,850100,Catering contract,Expenses,Catering ,Expenses
850150 - Catering - Food & Drink,850150,Catering - Food & Drink,Expenses,Catering ,Expenses
850300 - Catering - Maintenance&Repair,850300,Catering - Maintenance&Repair,Expenses,Catering ,Expenses
855150 - Financial,855150,Financial,Expenses,Non-educational,Expenses
855170 - Legal - other,855170,Legal - other,Expenses,Non-educational,Expenses
855200 - Personnel/HR,855200,Personnel/HR,Expenses,Non-educational,Expenses
855220 - Payroll,855220,Payroll,Expenses,Non-educational,Expenses
855350 - Free School Meals - pupil checks,855350,Free School Meals - pupil checks,Expenses,Non-educational,Expenses
855400 - Educational Psychologist,855400,Educational Psychologist,Expenses,Non-educational,Expenses
855420 - Speech & Language Therapist,855420,Speech & Language Therapist,Expenses,Non-educational,Expenses
860100 - Statutory audit fees,860100,Statutory audit fees,Expenses,Non-educational,Expenses
