NominalCode,1,2,3,4,5,6,7,8,9,10,11,12,total
820100 - Educational IT Equipment,0,0,0,0,2500,0,0,0,0,0,0,7000,9500
820150 - Educational software & licences,10000,2800,2780,760,500,204,0,1700,0,0,0,0,18744
820300 - ICT Support contract,26000,0,0,0,0,0,0,0,0,0,0,0,26000
820370 - ICT Software (not capital),7462.11,0,0,0,0,0,2158.76,0,0,0,0,19346.95,28967.82
820400 - ICT Licences,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,1476.12,17713.44
820420 - ICT Broadband,0,0,0,0,0,0,0,12856,0,0,0,0,12856
820550 - ICT Hosting Fees,0,0,0,462.42,0,0,0,0,0,0,0,0,462.42
830100 - School Trips - Travel cost,0,0,0,0,0,3000,0,1700,3600,0,0,0,8300
830150 - School trips; accommodation and entrance costs,0,0,0,0,0,1225,2040,1040,1008,0,0,0,5313
830151 - Swimming,29889.95,0,0,0,0,3260.72,26629.29,0,0,0,0,0,59779.96
835100 - Subscriptions,0,0,0,0,0,0,0,0,0,0,1118.53,0,1118.53
835120 - TV licences,149,0,0,0,0,0,0,0,0,0,0,0,149
835200 - Admin Supplies & Stationery,500,500,12000,500,500,500,500,500,500,500,500,500,17500
835250 - Telephone Costs,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,3458.4
835320 - Postage and Carriage,160,160,160,160,160,160,160,160,160,160,160,160,1920
835500 - Medical,319,319,319,319,319,319,319,319,319,319,319,319,3828
835570 - Bank charges,60,60,60,60,60,60,60,60,60,60,60,60,720
840100 - Vehicle cost,350,350,350,350,350,350,350,350,350,350,350,350,4200
845200 - Agency teaching assistants,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000
850100 - Catering contract,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,91200
850150 - Catering - Food & Drink,20774.16,14493.6,20677.14,19057.5,17592.3,25306.38,10739.52,2852.19,25434.09,15157.89,32457.15,26308.26,230850.18
850300 - Catering - Maintenance&Repair,0,0,0,0,0,0,0,0,0,0,1000,0,1000
855150 - Financial,410,410,410,410,410,410,410,410,410,410,410,410,4920
855170 - Legal - other,3500,0,0,6000,0,0,1500,0,0,0,1500,0,12500
855200 - Personnel/HR,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,13200
855220 - Payroll,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,1678.13,20137.56
855350 - Free School Meals - pupil checks,0,0,0,0,3400,0,0,0,0,0,0,0,3400
855400 - Educational Psychologist,56000,0,0,0,0,0,0,0,0,0,0,0,56000
855420 - Speech & Language Therapist,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
860100 - Statutory audit fees,0,6500,0,4400,0,0,2180,0,0,0,1900,0,14980
